1.429386, ms, fals
1.414401, ms, false
1.440468, ms, false
1.466816, ms, false
1.21515, ms, false
925.112, µs, false
1.531146, ms, false
1.211627, ms, false
1.434183, ms, false
1.30367, ms, false
1.288077, ms, false
1.252839, ms, false
1.191622, ms, false
1.405805, ms, false
2.10195, ms, false
1.250252, ms, false
1.585192, ms, false
1.294966, ms, false
1.839563, ms, false
1.147, ms, false
1.718657, ms, false
1.561853, ms, false
1.379585, ms, false
1.522618, ms, false
1.260723, ms, false
1.36207, ms, false
1.569175, ms, false
1.172187, ms, false
1.37103, ms, false
818.606, µs, false
1.18352, ms, false
1.169289, ms, false
774.077, µs, false
1.250811, ms, false
1.329855, ms, false
1.50336, ms, false
1.226287, ms, false
743.472, µs, false
1.272697, ms, false
1.373061, ms, false
1.317856, ms, false
1.170284, ms, false
1.505682, ms, false
1.062842, ms, false
1.265771, ms, false
2.531695, ms, false
1.302234, ms, false
1.501668, ms, false
1.101641, ms, false
1.407085, ms, false
7.495541, ms, false
1.404984, ms, false
1.302586, ms, false
1.876517, ms, false
1.256146, ms, false
1.579818, ms, false
1.575231, ms, false
1.492487, ms, false
1.156088, ms, false
1.276907, ms, false
1.060493, ms, false
1.402374, ms, false
1.136868, ms, false
1.165377, ms, false
1.326883, ms, false
1.702648, ms, false
1.64867, ms, false
1.607681, ms, false
1.616184, ms, false
1.222169, ms, false
1.119657, ms, false
1.288534, ms, false
1.649066, ms, false
1.219665, ms, false
1.52322, ms, false
1.312405, ms, false
741.22, µs, false
1.250673, ms, false
1.208697, ms, false
1.219726, ms, false
1.249517, ms, false
1.987261, ms, false
1.283455, ms, false
1.824775, ms, false
1.167064, ms, false
1.148265, ms, false
1.649621, ms, false
1.326418, ms, false
1.143479, ms, false
746.757, µs, false
1.974154, ms, false
1.320267, ms, false
2.457567, ms, false
1.432049, ms, false
1.540888, ms, false
1.298926, ms, false
1.407195, ms, false
1.357435, ms, false
1.718109, ms, false
1.140511, ms, false
1.327119, ms, false
1.462618, ms, false
1.60809, ms, false
1.207729, ms, false
1.374143, ms, false
1.68266, ms, false
1.297726, ms, false
1.346466, ms, false
1.528926, ms, false
1.310947, ms, false
1.357326, ms, false
1.066187, ms, false
1.297399, ms, false
734.099, µs, false
775.731, µs, false
1.47295, ms, false
1.555275, ms, false
1.366078, ms, false
1.382778, ms, false
1.502564, ms, false
1.413706, ms, false
1.509357, ms, false
1.561391, ms, false
1.291195, ms, false
1.397909, ms, false
1.387438, ms, false
1.435831, ms, false
1.160104, ms, false
794.396, µs, false
1.305185, ms, false
1.261414, ms, false
1.404516, ms, false
1.492156, ms, false
1.808454, ms, false
1.649955, ms, false
1.434422, ms, false
786.48, µs, false
1.533929, ms, false
1.219578, ms, false
1.585922, ms, false
1.154203, ms, false
1.58286, ms, false
1.52907, ms, false
1.244228, ms, false
1.34901, ms, false
1.617257, ms, false
1.206806, ms, false
1.547393, ms, false
1.394984, ms, false
1.241295, ms, false
1.61358, ms, false
1.321113, ms, false
2.147946, ms, false
1.14126, ms, false
1.221801, ms, false
1.360303, ms, false
1.492255, ms, false
1.213398, ms, false
1.225733, ms, false
1.670109, ms, false
1.302998, ms, false
1.329219, ms, false
1.615001, ms, false
1.428995, ms, false
1.127468, ms, false
1.370745, ms, false
1.420865, ms, false
1.745795, ms, false
1.286368, ms, false
1.82499, ms, false
1.509357, ms, false
1.459468, ms, false
1.339112, ms, false
1.454231, ms, false
1.360068, ms, false
1.465591, ms, false
1.552649, ms, false
1.614307, ms, false
2.18623, ms, false
1.244573, ms, false
1.447267, ms, false
1.358031, ms, false
1.317483, ms, false
1.141903, ms, false
1.211717, ms, false
1.249126, ms, false
1.763898, ms, false
1.535331, ms, false
953.873, µs, false
1.293513, ms, false
1.102871, ms, false
1.972764, ms, false
1.211963, ms, false
1.600838, ms, false
732.645, µs, false
1.681817, ms, false
1.310633, ms, false
1.819468, ms, false
1.369471, ms, false
1.273084, ms, false
1.251928, ms, false
1.391998, ms, false
1.614934, ms, false
1.141737, ms, false
1.478999, ms, false
1.43648, ms, false
1.64583, ms, false
1.166799, ms, false
1.638178, ms, false
2.102135, ms, false
1.605615, ms, false
804.137, µs, false
1.508579, ms, false
1.484079, ms, false
2.083095, ms, false
1.686657, ms, false
1.532197, ms, false
1.627046, ms, false
1.428916, ms, false
1.307503, ms, false
1.748472, ms, false
1.489033, ms, false
1.463813, ms, false
1.507742, ms, false
1.439163, ms, false
1.50467, ms, false
1.332017, ms, false
1.242225, ms, false
1.059709, ms, false
1.35498, ms, false
1.32375, ms, false
1.675229, ms, false
1.605972, ms, false
1.158602, ms, false
1.458291, ms, false
1.240052, ms, false
1.483097, ms, false
1.464987, ms, false
1.487695, ms, false
1.285824, ms, false
1.17123, ms, false
1.786691, ms, false
1.364564, ms, false
1.386551, ms, false
1.596074, ms, false
893.218, µs, false
1.433786, ms, false
1.676337, ms, false
984.06, µs, false
1.109992, ms, false
1.546239, ms, false
1.282854, ms, false
1.558859, ms, false
2.263268, ms, false
1.458369, ms, false
1.87505, ms, false
1.584207, ms, false
1.415356, ms, false
1.271523, ms, false
1.380741, ms, false
1.342581, ms, false
1.431099, ms, false
1.233261, ms, false
1.317064, ms, false
1.512355, ms, false
